0,https://static.garfield.dale.ro/1991/ga910101.gif,"CLANG! CLANG! Wake up! Fix me breakfast! - Whew! Look at those eyes! You should get to bed earlier. - HAPPY NEW YEAR TO YOU, TOO!"
1,https://static.garfield.dale.ro/1991/ga910102.gif,"These post-holiday blues are really getting me down. - There's gotta be something to celebrate.! flip flip flip - BLAT! HAPPY BIRTHDAY, ISAAC ASIMOV!"
2,https://static.garfield.dale.ro/1991/ga910103.gif,"It's been over a week and Odie still hasn't opened his Christmas present. - Oh well, he'll figure it out one of these days. - I think you overestimate him."
3,https://static.garfield.dale.ro/1991/ga910104.gif,"Hey, lardo, have you considered trimming down this year? Yes, I have. - - WHEN THEY INVENT LIPOSUCTION FOR CATS!"
4,https://static.garfield.dale.ro/1991/ga910105.gif,CHOMP GOBBLE GULP SNARF GOBBLE - SMACK GOBBLE GULP MUNCH sniff sniff sniff sniff -
6,https://static.garfield.dale.ro/1991/ga910107.gif,"Okay, Jon, this is the way it's going to be. - I'll paint a line on the floor. Everything on your side is yours, and everything on my side is mine. - If you need me, I'll be in the kitchen."
7,https://static.garfield.dale.ro/1991/ga910108.gif,"YAAH! YAAH! AIIIEEEEE!! - AAAAHHHH!!! - Just practicing in case we ever run out of food. You have too much free time, Garfield."
8,https://static.garfield.dale.ro/1991/ga910109.gif,"Garfield, what are you going to do about this mess? - - Besides take a bow."
9,https://static.garfield.dale.ro/1991/ga910110.gif,- PUNT! - You have to admire the guy for working without a net.
10,https://static.garfield.dale.ro/1991/ga910111.gif,"I really enjoyed our date, Suzanne. - May I have a lock of your hair to remember you by? - She says she'll shave her head if I stop calling. Go for it."
11,https://static.garfield.dale.ro/1991/ga910112.gif,- SPLOP! - Breakfast in bed.
13,https://static.garfield.dale.ro/1991/ga910114.gif,Z -Z - TURN
14,https://static.garfield.dale.ro/1991/ga910115.gif,- boot! - Hmmm...too much topspin.
15,https://static.garfield.dale.ro/1991/ga910116.gif,"Putting on a little weight, Garfield? What makes you say that? - - Hello, rescue squad? I have a cat stuck in my doorway. Have them pick up a pizza on the way!"
16,https://static.garfield.dale.ro/1991/ga910117.gif,- -
17,https://static.garfield.dale.ro/1991/ga910118.gif,"I wonder what my fortune cookie says. - ""A tall beautiful blonde will change your life"". - Gee. Jon, there's an eleven foot woman at the door with a chain saw."
18,https://static.garfield.dale.ro/1991/ga910119.gif,"Good evening, for my first selection I will sing the opera ""Carmen"" in B flat. - Ahem...may I have a B flat, please? - *"
20,https://static.garfield.dale.ro/1991/ga910121.gif,I've put the cookie jar on top of the refrigerator where Garfield can't reach it. - -
21,https://static.garfield.dale.ro/1991/ga910122.gif,Hate it...hate it...hate it... click click click - Hate it...hate it...hate it... click click click - Enjoying yourself? Hate it...yep...hate it... click click
22,https://static.garfield.dale.ro/1991/ga910123.gif,Who wants to lick the icing? I do! - SLURP! - ...out of the bowl? Oh.
23,https://static.garfield.dale.ro/1991/ga910124.gif,"Wouldn't you like to go out and get some fresh air, Garfield? - Not really. - Could we have it delivered?"
24,https://static.garfield.dale.ro/1991/ga910125.gif,"Which is smarter, the dog, or the tree stump? Let's find out. - Who want's to fetch Jon's old, stinky sweat sock? - Another of nature's mysteries solved."
25,https://static.garfield.dale.ro/1991/ga910126.gif,I just love making snow angels. - - He just loves making snow angels.
27,https://static.garfield.dale.ro/1991/ga910128.gif,Jon! Garfield! - Door! - Sidewalk! Street!
28,https://static.garfield.dale.ro/1991/ga910129.gif,I've got a cramp in my hand. - What should I do? - Scratch me.
29,https://static.garfield.dale.ro/1991/ga910130.gif,I reckon it's part of a cat's nature. - It can't be helped. - Sometimes I just HAVE to lie here and do nothing.
30,https://static.garfield.dale.ro/1991/ga910131.gif,"Look out. I can't stop. - BUMP - Thank goodness you survived. You had quite a head of steam built up there, Garfield."
31,https://static.garfield.dale.ro/1991/ga910201.gif,That looks like Jon! - Our show's subject today: Cat owners whose lives are in constant torment. - All right! It IS Jon!
32,https://static.garfield.dale.ro/1991/ga910202.gif,"Pudding! - I made some for you, Garfield! There was no need to steal mine! Of course there was, you idiot! - Now I have min AND yours! Sometimes I wander about you."
34,https://static.garfield.dale.ro/1991/ga910204.gif,Time to face another monday. - - Thank goodness that is over with!
35,https://static.garfield.dale.ro/1991/ga910205.gif,"From now on, I expect to get a little respect around here! Can you remember that?! - Of course I can. - You can count on me, Phil."
36,https://static.garfield.dale.ro/1991/ga910206.gif,"Here, Jon. FOOF What's this? - It's what's left of the mail. - Now, what should I do with what's left of the mailman?"
37,https://static.garfield.dale.ro/1991/ga910207.gif,"Let me have a dab of mustard. - SPLOIT! - Just out of curiosity, exactly what IS a ""dab""?"
38,https://static.garfield.dale.ro/1991/ga910208.gif,- BONNNNG! - I suppose YOU can fix better pancakes!
39,https://static.garfield.dale.ro/1991/ga910209.gif,"Hmmm, I wonder... - - Yup."
41,https://static.garfield.dale.ro/1991/ga910211.gif,"Z - Time to get up, Garfield! Z - Z"
42,https://static.garfield.dale.ro/1991/ga910212.gif,DON'T DELAY!... - ACT NOW!! - click Fast enough for you?
43,https://static.garfield.dale.ro/1991/ga910213.gif,"Life with Jon is not normal. - Garfield, I am going to tap dance on the front lawn in my underwear with a balloon animal tied to my head and a pieapple in each hand! - Again!"
44,https://static.garfield.dale.ro/1991/ga910214.gif,"Why so grumpy, Garfield? - It's something I happen to be good at. - Garfield, why did you destroy the sofa?! See previous answer."
